Id, Category
0, apple
1, apple
2, apple
3, apple
4, empty
5, apple
6, rifle
7, apple
8, apple
9, apple
10, apple
11, apple
12, rifle
13, skull
14, apple
15, apple
16, apple
17, penguin
18, apple
19, rifle
20, apple
21, apple
22, apple
23, apple
24, apple
25, apple
26, apple
27, apple
28, apple
29, apple
30, apple
31, apple
32, penguin
33, apple
34, apple
35, rifle
36, apple
37, apple
38, apple
39, apple
40, moustache
41, rhinoceros
42, rifle
43, apple
44, peanut
45, apple
46, apple
47, apple
48, apple
49, apple
50, apple
51, apple
52, apple
53, apple
54, rifle
55, apple
56, paintbrush
57, apple
58, apple
59, apple
60, apple
61, apple
62, apple
63, apple
64, apple
65, apple
66, apple
67, apple
68, apple
69, apple
70, apple
71, apple
72, apple
73, apple
74, apple
75, apple
76, apple
77, apple
78, empty
79, mouth
80, apple
81, nail
82, apple
83, apple
84, apple
85, apple
86, apple
87, apple
88, rifle
89, apple
90, empty
91, apple
92, apple
93, apple
94, empty
95, apple
96, apple
97, empty
98, apple
99, apple
100, apple
101, apple
102, apple
103, pencil
104, apple
105, apple
106, apple
107, apple
108, skateboard
109, moustache
110, apple
111, skateboard
112, empty
113, apple
114, apple
115, apple
116, pencil
117, apple
118, apple
119, empty
120, apple
121, apple
122, apple
123, mouth
124, apple
125, apple
126, apple
127, rifle
128, apple
129, apple
130, apple
131, apple
132, empty
133, apple
134, apple
135, apple
136, apple
137, apple
138, apple
139, apple
140, apple
141, apple
142, apple
143, apple
144, apple
145, apple
146, apple
147, apple
148, apple
149, apple
150, apple
151, rifle
152, apple
153, apple
154, apple
155, apple
156, apple
157, apple
158, apple
159, apple
160, apple
161, apple
162, skateboard
163, apple
164, apple
165, apple
166, pencil
167, empty
168, apple
169, apple
170, apple
171, rifle
172, apple
173, apple
174, apple
175, nail
176, empty
177, moustache
178, apple
179, apple
180, apple
181, apple
182, apple
183, apple
184, rifle
185, apple
186, apple
187, apple
188, apple
189, empty
190, apple
191, apple
192, apple
193, apple
194, apple
195, skull
196, apple
197, apple
198, apple
199, apple
200, empty
201, rifle
202, apple
203, apple
204, apple
205, apple
206, rifle
207, apple
208, apple
209, apple
210, apple
211, apple
212, apple
213, apple
214, apple
215, apple
216, mouth
217, apple
218, apple
219, apple
220, nail
221, empty
222, apple
223, apple
224, apple
225, apple
226, apple
227, apple
228, apple
229, apple
230, apple
231, apple
232, apple
233, empty
234, apple
235, apple
236, apple
237, apple
238, apple
239, apple
240, apple
241, rifle
242, apple
243, apple
244, apple
245, apple
246, apple
247, apple
248, apple
249, apple
250, apple
251, apple
252, apple
253, apple
254, apple
255, apple
256, apple
257, rifle
258, apple
259, empty
260, empty
261, apple
262, apple
263, pencil
264, apple
265, apple
266, apple
267, apple
268, apple
269, apple
270, apple
271, apple
272, apple
273, apple
274, squiggle
275, apple
276, rifle
277, apple
278, apple
279, skateboard
280, rifle
281, apple
282, apple
283, apple
284, apple
285, apple
286, apple
287, apple
288, apple
289, apple
290, apple
291, apple
292, apple
293, apple
294, apple
295, apple
296, apple
297, apple
298, skateboard
299, apple
300, empty
301, apple
302, apple
303, skateboard
304, apple
305, apple
306, apple
307, apple
308, apple
309, empty
310, mouth
311, apple
312, apple
313, apple
314, apple
315, penguin
316, apple
317, apple
318, apple
319, apple
320, apple
321, apple
322, apple
323, apple
324, apple
325, nail
326, moustache
327, apple
328, mouth
329, apple
330, apple
331, apple
332, apple
333, apple
334, apple
335, apple
336, apple
337, apple
338, empty
339, sailboat
340, apple
341, mouth
342, apple
343, apple
344, apple
345, apple
346, apple
347, apple
348, skateboard
349, apple
350, apple
351, apple
352, apple
353, apple
354, apple
355, mouth
356, apple
357, apple
358, apple
359, apple
360, empty
361, apple
362, empty
363, apple
364, skateboard
365, apple
366, apple
367, empty
368, mouth
369, apple
370, apple
371, apple
372, pencil
373, apple
374, apple
375, apple
376, apple
377, empty
378, rifle
379, apple
380, apple
381, apple
382, apple
383, apple
384, apple
385, apple
386, apple
387, apple
388, pencil
389, apple
390, apple
391, apple
392, apple
393, nail
394, apple
395, apple
396, apple
397, apple
398, apple
399, apple
400, apple
401, apple
402, apple
403, mouth
404, apple
405, apple
406, apple
407, apple
408, apple
409, apple
410, moustache
411, apple
412, apple
413, apple
414, apple
415, apple
416, apple
417, apple
418, apple
419, apple
420, apple
421, apple
422, apple
423, apple
424, apple
425, apple
426, octagon
427, apple
428, apple
429, apple
430, apple
431, apple
432, moustache
433, apple
434, empty
435, rifle
436, apple
437, apple
438, apple
439, apple
440, paintbrush
441, apple
442, apple
443, apple
444, empty
445, pencil
446, apple
447, apple
448, apple
449, apple
450, apple
451, apple
452, sailboat
453, pencil
454, empty
455, rifle
456, spoon
457, apple
458, rifle
459, apple
460, mouth
461, empty
462, apple
463, apple
464, apple
465, apple
466, apple
467, apple
468, apple
469, apple
470, rifle
471, apple
472, apple
473, apple
474, apple
475, apple
476, apple
477, apple
478, apple
479, apple
480, apple
481, apple
482, apple
483, apple
484, apple
485, rifle
486, apple
487, apple
488, apple
489, apple
490, apple
491, moustache
492, apple
493, apple
494, apple
495, apple
496, rifle
497, sailboat
498, apple
499, apple
500, apple
501, apple
502, apple
503, apple
504, apple
505, pencil
506, apple
507, empty
508, apple
509, apple
510, apple
511, apple
512, apple
513, mouth
514, apple
515, apple
516, apple
517, apple
